Category,Category_n,protected,on_island,plantation,Region,area,perimeter,x,y
"3",Down,NO,NO,NO,NAmerica,0.000730907084744,0.102145751373802,-97.7798388060,56.3841997683
"3",Down,NO,NO,NO,NAmerica,0.000726161922557,0.101674544521232,-100.7626273572,56.1340100488
"3",Down,NO,NO,NO,NAmerica,0.000882249569713,0.117346060237707,-122.4312172941,62.7000317353
"3",Down,NO,NO,NO,NAmerica,0.000891573051376,0.118294067384456,-153.3516309939,63.0077690853
"3",Down,NO,NO,NO,NAsia,0.000642142730612,0.093438042753896,130.0293010333,50.9375121004
"3",Down,NO,NO,NO,NAsia,0.000706221148448,0.099706044978944,123.7048638533,55.0418237218
"3",Down,NO,NO,NO,NAsia,0.000719894004305,0.101055466785486,123.5473810748,55.7993895659
"3",Down,NO,NO,NO,NAsia,0.000811870037069,0.110228694796399,131.7453223064,60.1042770059
"3",Down,NO,NO,NO,NAsia,0.000853802449001,0.114459420193466,115.0753935397,61.7091897641
"3",Down,NO,NO,NO,NAsia,0.000773760534685,0.106408972128662,118.3399035537,58.4682204753
"3",Down,NO,NO,NO,NAsia,0.000681965089370,0.097321370888105,101.4079668038,53.6025968637
"3",Down,NO,NO,NO,NAsia,0.000814786290448,0.110522059034217,127.2020483948,60.2217940053
"3",Down,NO,NO,NO,NAsia,0.000816132795080,0.110658337239961,127.0379400783,60.2763115046
"3",Down,NO,NO,NO,NAsia,0.000683394557655,0.097462699196488,83.1873820624,53.6928464546
"3",Down,NO,NO,NO,NAsia,0.000751357353693,0.104177786506942,84.0630140813,57.4153883021
"3",Down,NO,NO,NO,NAsia,0.000759444930281,0.104981022825379,83.7564268131,57.8033965477
"3",Down,NO,NO,NO,NAsia,0.000756394999826,0.104679010582998,83.6263076619,57.6586370029
"3",Down,NO,NO,NO,NAsia,0.000755570614274,0.104594372654221,83.7317074661,57.6176566084
"3",Down,NO,NO,NO,NAsia,0.000794797274466,0.108515282770854,79.8769909668,59.3947581262
"3",Down,NO,NO,NO,NAsia,0.000793788073679,0.108412521267782,79.9641944224,59.3506817562
"3",Down,NO,NO,NO,NAsia,0.000937882531616,0.123024009650323,124.9205865775,64.4403942590
"3",Down,NO,NO,NO,NAsia,0.000615946058588,0.090904594756500,140.1483468231,48.9296681267
"3",Down,NO,NO,NO,NAsia,0.000820341379040,0.111081102454856,127.0056197197,60.4439927969
